                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.0123,                 2.5132,                 1.1605,                 1.3787,                0.68647,                0.57389,                0.62455,                0.46933,                0.66858,                0.52211,                0.55461,                0.35147,                 1.1321,                 2.7699,                 1.3742,                 1.6152,               0.004951,               0.004951,               0.004951
                     54,                 1.0018,                 2.4675,                 1.1399,                 1.3734,                0.68818,                0.57749,                0.62576,                0.47231,                0.66583,                0.52345,                0.55192,                0.35269,                 1.1361,                  2.781,                 1.3817,                  1.628,               0.004852,               0.004852,               0.004852
                     55,                 0.9825,                 2.4265,                  1.107,                 1.3589,                0.70069,                0.58454,                0.63008,                0.47623,                0.65677,                0.53983,                0.55486,                 0.3554,                 1.1295,                 2.7742,                 1.3791,                 1.6168,               0.004753,               0.004753,               0.004753
                     56,                0.97965,                 2.4836,                 1.1157,                 1.3594,                0.69576,                0.58673,                0.62782,                0.47403,                0.68515,                0.52548,                0.55629,                0.35258,                 1.1273,                 2.7734,                 1.3802,                 1.6088,               0.004654,               0.004654,               0.004654
                     57,                0.99003,                 2.4553,                 1.0873,                   1.36,                0.71284,                0.57444,                0.63372,                0.47694,                0.69521,                0.52246,                0.55908,                0.35281,                 1.1253,                 2.7794,                 1.3707,                 1.6147,               0.004555,               0.004555,               0.004555
                     58,                0.95618,                 2.3662,                  1.062,                 1.3399,                0.72444,                0.57144,                0.63588,                0.48067,                 0.6861,                0.52859,                 0.5623,                0.35862,                  1.125,                 2.7826,                 1.3718,                 1.6159,               0.004456,               0.004456,               0.004456
                     59,                0.97165,                 2.4187,                 1.0792,                 1.3498,                0.70417,                0.57967,                0.63235,                0.47896,                0.67124,                0.52754,                0.55959,                0.35929,                 1.1216,                 2.7875,                 1.3637,                 1.6133,               0.004357,               0.004357,               0.004357
                     60,                0.96817,                  2.396,                 1.0489,                  1.347,                0.72493,                0.57061,                0.63451,                0.47906,                0.68086,                0.53167,                0.56179,                0.35866,                 1.1221,                 2.7797,                 1.3732,                  1.614,               0.004258,               0.004258,               0.004258
                     61,                0.96769,                  2.387,                  1.042,                 1.3407,                0.70642,                0.58399,                0.63862,                0.48625,                0.66415,                0.54806,                0.57022,                0.36531,                  1.114,                 2.7712,                 1.3589,                  1.604,               0.004159,               0.004159,               0.004159
                     62,                0.95082,                 2.3625,                 1.0331,                 1.3381,                0.72787,                 0.5687,                0.64092,                 0.4868,                0.71378,                0.51425,                0.56952,                0.36678,                 1.1244,                 2.7786,                 1.3466,                 1.6199,                0.00406,                0.00406,                0.00406
                     63,                0.94404,                 2.3698,                 1.0213,                 1.3353,                0.70613,                0.58654,                0.64296,                0.49019,                0.69721,                0.53338,                0.57417,                0.36909,                 1.1179,                 2.7888,                 1.3517,                 1.6121,               0.003961,               0.003961,               0.003961
                     64,                 0.9292,                 2.3271,                 1.0004,                 1.3192,                0.68748,                0.61198,                0.64716,                0.49348,                0.66473,                 0.5573,                0.57704,                 0.3701,                 1.1151,                 2.8008,                 1.3384,                 1.6073,               0.003862,               0.003862,               0.003862
                     65,                0.93548,                 2.2903,                0.99169,                 1.3241,                0.70582,                0.59699,                0.64575,                0.49215,                0.66761,                0.54748,                0.57304,                0.36814,                 1.1127,                 2.8138,                 1.3413,                 1.6119,               0.003763,               0.003763,               0.003763
                     66,                0.91967,                 2.2925,                0.96434,                 1.3126,                0.71107,                0.59085,                0.64413,                 0.4899,                 0.7009,                0.53198,                0.57286,                0.36925,                 1.1139,                 2.8051,                 1.3463,                 1.6123,               0.003664,               0.003664,               0.003664
                     67,                0.92042,                 2.2906,                0.96561,                 1.3084,                0.70818,                0.60045,                0.64705,                0.49475,                0.67831,                0.54901,                0.57277,                0.36925,                 1.1119,                 2.8267,                 1.3485,                 1.6132,               0.003565,               0.003565,               0.003565
                     68,                0.92169,                 2.2752,                 0.9521,                 1.3035,                0.68341,                0.61029,                 0.6432,                0.49169,                0.69966,                0.52808,                0.57015,                0.36668,                 1.1131,                 2.8317,                 1.3534,                 1.6146,               0.003466,               0.003466,               0.003466
                     69,                0.91081,                 2.3001,                0.94483,                 1.2976,                0.69869,                0.60584,                 0.6455,                0.49376,                0.66005,                0.55814,                0.57517,                0.36982,                 1.1097,                 2.8367,                 1.3516,                 1.6088,               0.003367,               0.003367,               0.003367
                     70,                0.92389,                 2.2758,                0.93512,                 1.3074,                0.67431,                0.62251,                0.64818,                0.49801,                0.66494,                0.55754,                0.57737,                0.37217,                 1.1039,                 2.8209,                 1.3461,                  1.603,               0.003268,               0.003268,               0.003268
                     71,                0.90863,                 2.2706,                0.92243,                 1.2919,                0.70404,                0.60864,                0.64896,                0.49791,                0.65798,                0.56704,                0.57752,                 0.3717,                 1.0992,                 2.8286,                 1.3532,                 1.5968,               0.003169,               0.003169,               0.003169
                     72,                0.88681,                 2.2314,                0.90428,                  1.281,                 0.6857,                0.61635,                0.64951,                 0.4987,                0.68416,                0.54621,                0.57783,                0.37266,                 1.0981,                 2.8188,                 1.3516,                 1.5985,                0.00307,                0.00307,                0.00307
                     73,                0.89199,                 2.2278,                 0.8948,                 1.2816,                0.72889,                0.59284,                0.65073,                 0.5019,                0.68515,                0.55023,                 0.5806,                0.37426,                 1.1005,                 2.8144,                 1.3512,                 1.6044,               0.002971,               0.002971,               0.002971
                     74,                 0.8794,                 2.1789,                0.87878,                 1.2798,                0.71878,                0.59787,                0.65164,                0.50365,                0.67908,                0.55642,                0.58321,                0.37719,                 1.0993,                 2.8196,                 1.3515,                 1.6082,               0.002872,               0.002872,               0.002872
                     75,                 0.8735,                 2.1807,                0.84417,                 1.2691,                0.72552,                0.59526,                 0.6532,                0.50562,                0.69399,                0.54956,                0.58278,                0.37792,                 1.0925,                 2.8284,                 1.3464,                 1.6026,               0.002773,               0.002773,               0.002773
                     76,                0.88528,                 2.2258,                0.86546,                 1.2738,                0.74351,                 0.5864,                 0.6551,                0.50635,                 0.7204,                0.54135,                0.58438,                0.37931,                  1.095,                 2.8367,                 1.3493,                  1.605,               0.002674,               0.002674,               0.002674
                     77,                0.86564,                 2.1834,                0.84055,                 1.2608,                0.74017,                0.59691,                0.65659,                 0.5084,                0.70212,                0.55141,                0.58505,                0.38024,                 1.0959,                 2.8441,                 1.3393,                 1.6061,               0.002575,               0.002575,               0.002575
                     78,                 0.8743,                 2.1674,                0.84352,                 1.2627,                0.74348,                 0.5979,                0.65313,                0.50738,                 0.7098,                0.55892,                0.58796,                0.38207,                 1.0966,                 2.8393,                 1.3482,                 1.6088,               0.002476,               0.002476,               0.002476
                     79,                0.86318,                 2.1556,                0.83271,                 1.2601,                0.74371,                0.59549,                0.65329,                 0.5069,                0.71982,                0.54893,                0.58854,                0.38362,                 1.0958,                 2.8487,                 1.3596,                 1.6099,               0.002377,               0.002377,               0.002377
                     80,                0.84501,                   2.15,                0.81948,                 1.2566,                0.75078,                0.59155,                0.65509,                0.50914,                0.71603,                0.55152,                0.59075,                0.38542,                 1.0932,                 2.8455,                 1.3513,                 1.6098,               0.002278,               0.002278,               0.002278
                     81,                0.85533,                  2.157,                0.82256,                 1.2507,                0.75222,                0.59651,                0.65742,                0.51152,                0.71676,                0.55287,                 0.5919,                0.38692,                   1.09,                 2.8561,                 1.3487,                 1.6099,               0.002179,               0.002179,               0.002179
                     82,                0.83379,                 2.1051,                0.80267,                 1.2428,                0.75767,                0.59607,                0.65841,                0.51255,                0.71568,                0.55785,                0.59239,                0.38783,                 1.0849,                 2.8589,                 1.3515,                  1.609,                0.00208,                0.00208,                0.00208
                     83,                0.83751,                 2.1003,                0.80839,                 1.2362,                0.74898,                0.59841,                0.65894,                0.51409,                0.70298,                0.56102,                0.59229,                0.38909,                 1.0833,                 2.8604,                 1.3553,                 1.6075,               0.001981,               0.001981,               0.001981
                     84,                0.81618,                 2.0637,                0.76129,                 1.2208,                 0.7177,                0.61379,                0.65991,                0.51463,                 0.7056,                0.55556,                0.59251,                0.38934,                 1.0805,                 2.8652,                 1.3595,                 1.6057,               0.001882,               0.001882,               0.001882
                     85,                0.82231,                 2.1127,                0.76231,                 1.2293,                0.73544,                0.60889,                0.66005,                0.51455,                0.69829,                0.56215,                0.59315,                0.38921,                 1.0788,                 2.8679,                 1.3598,                 1.6062,               0.001783,               0.001783,               0.001783
                     86,                0.82206,                 2.0919,                0.77297,                 1.2273,                0.73784,                0.61335,                0.66089,                  0.515,                0.69912,                0.56697,                  0.592,                0.38918,                 1.0771,                 2.8754,                  1.363,                 1.6079,               0.001684,               0.001684,               0.001684
                     87,                0.81452,                 2.0395,                 0.7513,                 1.2291,                0.74386,                0.60687,                0.66132,                0.51677,                0.70469,                0.56212,                0.59382,                0.39019,                 1.0785,                 2.8867,                 1.3669,                 1.6112,               0.001585,               0.001585,               0.001585
                     88,                0.80884,                 2.0667,                0.74453,                 1.2279,                0.74239,                0.60727,                 0.6605,                 0.5175,                0.69709,                0.56682,                0.59216,                0.39007,                 1.0777,                 2.8935,                 1.3683,                 1.6115,               0.001486,               0.001486,               0.001486
                     89,                0.80299,                 2.0648,                 0.7263,                 1.2141,                0.73039,                0.61357,                0.66011,                 0.5174,                0.69623,                0.56549,                0.59222,                0.39062,                 1.0767,                 2.8987,                 1.3663,                  1.612,               0.001387,               0.001387,               0.001387
                     90,                0.80285,                 2.0369,                0.72978,                 1.2237,                0.72464,                0.61486,                0.66013,                0.51818,                0.69439,                0.56321,                0.59239,                0.39062,                 1.0753,                 2.9027,                 1.3676,                 1.6107,               0.001288,               0.001288,               0.001288
                     91,                0.68384,                 1.8249,                0.52528,                 1.1999,                0.72589,                0.61168,                0.66003,                0.51881,                0.69505,                0.56218,                0.59204,                 0.3918,                 1.0741,                 2.9152,                 1.3668,                  1.611,               0.001189,               0.001189,               0.001189
                     92,                0.66159,                 1.7664,                0.48801,                 1.1667,                0.75253,                0.59253,                0.66047,                0.51946,                0.71338,                 0.5527,                0.59246,                0.39188,                 1.0719,                 2.9196,                 1.3688,                 1.6104,                0.00109,                0.00109,                0.00109
                     93,                0.64502,                 1.7405,                0.47833,                 1.1497,                0.76236,                0.58988,                0.66013,                 0.5202,                0.71959,                 0.5496,                 0.5916,                0.39195,                 1.0697,                 2.9273,                 1.3698,                 1.6093,               0.000991,               0.000991,               0.000991
                     94,                0.62909,                 1.7135,                 0.4597,                 1.1424,                0.75996,                0.59037,                0.66026,                0.52002,                0.71526,                0.55024,                0.59079,                0.39224,                 1.0674,                 2.9343,                  1.374,                  1.609,               0.000892,               0.000892,               0.000892
                     95,                0.61783,                 1.6616,                 0.4321,                 1.1258,                0.76589,                0.58875,                0.66002,                0.52064,                0.71597,                0.55036,                0.59025,                0.39197,                 1.0657,                 2.9407,                 1.3773,                 1.6095,               0.000793,               0.000793,               0.000793
                     96,                0.62161,                 1.7087,                0.44748,                 1.1341,                 0.7689,                0.58699,                0.66006,                0.52064,                0.72326,                0.54833,                0.59164,                0.39296,                 1.0641,                 2.9479,                 1.3815,                 1.6094,               0.000694,               0.000694,               0.000694
                     97,                0.62252,                 1.6985,                0.43548,                 1.1356,                0.76226,                0.58846,                0.65999,                 0.5211,                0.72946,                0.54414,                0.59321,                0.39321,                 1.0644,                 2.9506,                  1.386,                 1.6114,               0.000595,               0.000595,               0.000595
                     98,                0.60077,                 1.6682,                0.42246,                 1.1163,                0.76529,                0.58895,                0.65939,                 0.5207,                0.72215,                0.54733,                0.59207,                0.39304,                 1.0635,                 2.9539,                 1.3905,                 1.6128,               0.000496,               0.000496,               0.000496
                     99,                0.59621,                  1.631,                0.41636,                 1.1158,                0.76032,                0.59225,                0.65979,                0.52105,                0.71613,                0.55017,                0.59129,                0.39305,                 1.0623,                 2.9611,                 1.3924,                 1.6144,               0.000397,               0.000397,               0.000397
                    100,                0.58076,                 1.6078,                 0.3998,                 1.1035,                0.74237,                0.59991,                0.65942,                0.52075,                0.71015,                0.55164,                0.59034,                0.39272,                 1.0615,                  2.964,                 1.3972,                 1.6151,               0.000298,               0.000298,               0.000298
