                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.94484,                 2.2951,                0.99993,                 1.2924,                0.75315,                0.73006,                0.79071,                0.63077,                0.72258,                0.70086,                0.74679,                0.51365,                0.93592,                  2.125,                0.83965,                 1.3545,               0.002971,               0.002971,               0.002971
                     74,                0.93502,                  2.304,                 1.0049,                 1.2829,                0.76368,                0.72632,                 0.7923,                0.63282,                0.73131,                0.69786,                0.74848,                0.51459,                0.93483,                  2.122,                0.83672,                 1.3529,               0.002872,               0.002872,               0.002872
                     75,                0.93229,                 2.2722,                0.98116,                  1.281,                0.76768,                0.72441,                0.79408,                0.63442,                 0.7366,                0.69793,                0.75031,                 0.5162,                0.93373,                 2.1185,                0.83275,                 1.3519,               0.002773,               0.002773,               0.002773
                     76,                0.93322,                 2.2831,                0.97768,                 1.2797,                0.77096,                  0.725,                0.79521,                0.63552,                0.74086,                0.69805,                0.75145,                 0.5164,                0.93269,                 2.1155,                0.82926,                 1.3509,               0.002674,               0.002674,               0.002674
                     77,                0.92706,                   2.28,                0.96782,                 1.2802,                0.77143,                0.72496,                0.79678,                0.63793,                0.74095,                0.69871,                0.75341,                  0.518,                0.93186,                  2.111,                0.82515,                 1.3501,               0.002575,               0.002575,               0.002575
                     78,                 0.9373,                 2.2846,                0.97749,                 1.2835,                 0.7729,                  0.725,                0.79891,                0.63961,                0.74301,                0.69845,                0.75578,                0.52029,                 0.9306,                 2.1079,                0.82203,                 1.3488,               0.002476,               0.002476,               0.002476
                     79,                0.92386,                 2.2365,                0.95564,                  1.274,                0.78274,                0.72076,                0.80207,                0.64258,                 0.7518,                0.69489,                0.75884,                0.52236,                0.92973,                 2.1039,                0.81907,                 1.3479,               0.002377,               0.002377,               0.002377
                     80,                0.92226,                 2.2553,                0.95492,                 1.2762,                0.78186,                0.72333,                0.80405,                0.64442,                0.75192,                 0.6972,                0.76075,                0.52296,                0.92887,                 2.1003,                0.81582,                  1.347,               0.002278,               0.002278,               0.002278
                     81,                0.92129,                 2.2236,                0.94381,                 1.2716,                0.78458,                0.72614,                0.80636,                0.64565,                0.75354,                0.69846,                0.76234,                0.52393,                  0.928,                 2.0964,                0.81245,                 1.3462,               0.002179,               0.002179,               0.002179
                     82,                0.91887,                 2.2079,                0.93374,                 1.2683,                0.78696,                0.72555,                0.80866,                0.64781,                0.75814,                0.69736,                0.76388,                0.52556,                0.92674,                 2.0936,                0.80953,                 1.3449,                0.00208,                0.00208,                0.00208
                     83,                0.91626,                 2.2116,                0.92182,                 1.2705,                 0.7921,                0.72345,                 0.8102,                0.64991,                0.76153,                0.69681,                0.76597,                0.52694,                0.92554,                  2.089,                0.80643,                 1.3437,               0.001981,               0.001981,               0.001981
                     84,                0.91863,                 2.2176,                 0.9188,                 1.2671,                0.79241,                0.72481,                0.81259,                0.65182,                 0.7637,                0.69953,                0.76932,                0.52914,                0.92442,                 2.0861,                0.80421,                 1.3425,               0.001882,               0.001882,               0.001882
                     85,                 0.9053,                 2.1761,                0.89859,                 1.2589,                0.79012,                0.72744,                0.81515,                0.65386,                0.76051,                0.70037,                 0.7715,                0.53139,                0.92273,                 2.0827,                0.80075,                 1.3412,               0.001783,               0.001783,               0.001783
                     86,                0.91121,                 2.1832,                0.89985,                  1.263,                0.77754,                0.74845,                0.81867,                0.65556,                0.75951,                0.70616,                0.77396,                0.53242,                0.92116,                 2.0795,                 0.7972,                 1.3398,               0.001684,               0.001684,               0.001684
                     87,                0.90096,                 2.1827,                0.89313,                 1.2544,                0.77994,                0.74584,                0.82083,                0.65681,                0.75001,                0.71723,                  0.776,                0.53433,                0.91984,                 2.0764,                0.79395,                 1.3385,               0.001585,               0.001585,               0.001585
                     88,                0.89502,                 2.1541,                0.87602,                 1.2482,                0.80589,                0.73056,                0.82281,                0.65907,                0.77666,                0.70144,                0.77878,                0.53609,                0.91821,                 2.0718,                0.79084,                 1.3371,               0.001486,               0.001486,               0.001486
                     89,                0.89826,                 2.1539,                0.86149,                  1.253,                0.80403,                0.73437,                 0.8256,                 0.6619,                0.77347,                0.70727,                0.78155,                0.53818,                0.91681,                 2.0669,                0.78754,                 1.3361,               0.001387,               0.001387,               0.001387
                     90,                0.89662,                 2.1498,                0.86281,                 1.2523,                0.81874,                0.72482,                0.82973,                0.66594,                0.79599,                0.69513,                0.78485,                0.54166,                0.91528,                  2.063,                 0.7842,                 1.3346,               0.001288,               0.001288,               0.001288
                     91,                0.84564,                 1.9997,                 0.7438,                 1.2944,                0.77721,                0.75928,                0.83111,                0.66732,                0.77688,                0.70769,                0.78603,                0.54247,                0.91353,                 2.0591,                0.78076,                 1.3333,               0.001189,               0.001189,               0.001189
                     92,                0.82916,                 1.9454,                0.70628,                 1.2835,                0.78023,                0.76158,                0.83391,                0.67066,                0.80833,                0.69737,                0.78902,                 0.5456,                0.91106,                 2.0535,                0.77639,                 1.3317,                0.00109,                0.00109,                0.00109
                     93,                0.82639,                 1.9494,                0.70258,                 1.2829,                0.78542,                0.76624,                0.83653,                0.67303,                0.81286,                0.69921,                 0.7928,                0.54878,                0.90861,                 2.0477,                0.77193,                 1.3299,               0.000991,               0.000991,               0.000991
                     94,                 0.8148,                 1.9141,                0.67287,                 1.2703,                0.78806,                0.76944,                0.83917,                 0.6766,                0.81451,                0.69993,                 0.7953,                0.55114,                0.90652,                 2.0423,                  0.767,                 1.3285,               0.000892,               0.000892,               0.000892
                     95,                0.80352,                 1.8891,                0.65722,                 1.2587,                0.79115,                0.77029,                0.84175,                0.67953,                0.76833,                0.73102,                0.79814,                0.55445,                0.90405,                 2.0358,                0.76244,                 1.3266,               0.000793,               0.000793,               0.000793
                     96,                0.80153,                 1.8695,                0.63333,                 1.2531,                0.79685,                 0.7699,                 0.8443,                0.68187,                0.77224,                0.73281,                 0.8018,                0.55714,                0.90145,                 2.0301,                0.75777,                 1.3243,               0.000694,               0.000694,               0.000694
                     97,                0.79899,                 1.8773,                0.63013,                 1.2528,                0.80078,                0.77409,                  0.847,                0.68399,                0.77135,                0.74731,                0.80471,                0.55851,                0.89877,                  2.024,                 0.7535,                 1.3219,               0.000595,               0.000595,               0.000595
                     98,                0.78205,                  1.833,                0.60792,                 1.2398,                0.80751,                0.77569,                0.85051,                0.68764,                 0.7789,                0.74846,                0.80797,                0.56185,                0.89671,                 2.0166,                0.74861,                 1.3201,               0.000496,               0.000496,               0.000496
                     99,                0.78067,                 1.8242,                0.58768,                 1.2361,                0.81215,                0.77749,                 0.8536,                0.69011,                0.78147,                0.75196,                0.81222,                0.56625,                0.89311,                 2.0092,                 0.7422,                  1.317,               0.000397,               0.000397,               0.000397
                    100,                0.77221,                 1.8174,                0.57973,                 1.2336,                0.81913,                0.78225,                0.85765,                0.69354,                0.78809,                0.75514,                0.81576,                0.56881,                0.89041,                 2.0012,                0.73737,                 1.3145,               0.000298,               0.000298,               0.000298
